player_id,player_name,date,description,injury_category,season
354,Tony Snell,2021-10-23,Injury/Illness - Right Foot; Sprain,Foot,2022
575,Keon Johnson,2021-10-23,Injury/Illness - N/a; Illness,Illness/Protocol,2022
18,Kawhi Leonard,2021-10-23,Injury/Illness - Right Knee; ACL - Injury Recovery,Knee,2022
756,Jason Preston,2021-10-23,Injury/Illness - Right Foot; Injury Recovery,Foot,2022
64,Dillon Brooks,2021-10-23,Injury/Illness - Left Hand; Fracture Recovery,Hand,2022
151,Bobby Portis,2021-10-23,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
583,Isaiah Livers,2021-10-23,Injury/Illness - Right Foot; Injury recovery,Foot,2022
44,Victor Oladipo,2021-10-23,Injury/Illness - Right Knee; Injury Recovery,Knee,2022
88,Coby White,2021-10-23,Injury/Illness - Left Shoulder; Injury Management,Shoulder,2022
118,Danilo Gallinari,2021-10-23,Injury/Illness - Left Shoulder; Soreness,Shoulder,2022
542,Cade Cunningham,2021-10-23,Injury/Illness - Right Ankle; Sprain,Ankle,2022
62,Darius Garland,2021-10-23,Injury/Illness - Left Ankle; Sprain,Ankle,2022
362,Dylan Windler,2021-10-23,Injury/Illness - Right Hip; Strain,Hip,2022
345,Torrey Craig,2021-10-23,Injury/Illness - Left Shoulder; Sore,Shoulder,2022
174,Justin Holiday,2021-10-23,Injury/Illness - Left Ankle; Sprain,Ankle,2022
183,Jeremy Lamb,2021-10-23,Injury/Illness - Right Wrist; Sore,Wrist,2022
42,Caris LeVert,2021-10-23,Injury/Illness - Back; Sore Lower,Back,2022
390,Onyeka Okongwu,2021-10-23,Injury/Illness - Right Shoulder; Injury Recovery,Shoulder,2022
81,T.J. Warren,2021-10-23,Injury/Illness - Left Navicular; Fracture,Illness/Protocol,2022
280,Dewayne Dedmon,2021-10-23,Injury/Illness - Right Ankle; Sprain,Ankle,2022
63,Kyle Lowry,2021-10-23,Injury/Illness - Left Ankle; Sprain,Ankle,2022
683,JaQuori McLaughlin,2021-10-23,G League - Two-Way,Other,2022
647,Eugene Omoruyi,2021-10-23,G League - Two-Way,Other,2022
34,Pascal Siakam,2021-10-23,Injury/Illness - Left Shoulder; Injury recovery,Shoulder,2022
398,Yuta Watanabe,2021-10-23,Injury/Illness - Left Calf; Strain,Calf,2022
391,Kelan Martin,2021-10-23,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
4,Joel Embiid,2021-10-24,Injury/Illness - Right Knee; Soreness,Knee,2022
122,Shake Milton,2021-10-24,Injury/Illness - Right Ankle; Sprain,Ankle,2022
464,Grant Riller,2021-10-24,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
99,Ben Simmons,2021-10-24,Personal Reasons,Other,2022
397,Andre Iguodala,2021-10-24,Injury/Illness - Left Hip; Soreness,Hip,2022
560,Jonathan Kuminga,2021-10-24,Injury/Illness - Right Patellar Tendon; Strain,Illness/Protocol,2022
199,Trevor Ariza,2021-10-24,Injury/Illness - Right Ankle; Injury recovery,Ankle,2022
