R2,MAE,RMSE,model,setting,seed,n_test,overlap_ratio,cold_ratio,is_cold_start
0.6594784279197864,0.49810569766065066,0.6779235883422635,RandomForest,Node2Vec + Stats,1,423,0.8486997635933806,0.15130023640661938,False
0.1822338271382029,0.517456805245514,0.7024011467608824,Ridge,Node2Vec + Stats (Cold-Start),1,64,,,True
0.3610129909498936,0.4401578815651138,0.6208928453222792,RandomForest,Node2Vec + Stats (Cold-Start),1,64,,,True
0.5230310586537891,0.6235468755587926,0.8023308302197529,Ridge,RotatE + Stats,1,423,0.8486997635933806,0.15130023640661938,False
0.6741902160771127,0.4828983746218701,0.6631175033432533,RandomForest,RotatE + Stats,1,423,0.8486997635933806,0.15130023640661938,False
-0.0890883531816693,0.6077808199625245,0.8105917846362957,Ridge,RotatE + Stats (Cold-Start),1,64,,,True
0.3978964745522473,0.4272815994480067,0.6027069868823581,RandomForest,RotatE + Stats (Cold-Start),1,64,,,True
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 + Stats,1,423,0.8486997635933806,0.15130023640661938,False
0.5890170450124179,0.5247556754645474,0.7447668467141201,RandomForest,GNN_V0 + Stats,1,423,0.8486997635933806,0.15130023640661938,False
-0.4627820573598864,0.7328492118851231,0.9394214089210268,Ridge,GNN_V0 + Stats (Cold-Start),1,64,,,True
0.11767427110035622,0.5339744713104404,0.729600482945568,RandomForest,GNN_V0 + Stats (Cold-Start),1,64,,,True
0.5078718311392315,0.6175223348612999,0.8149811102498677,Ridge,GNN_V1 + Stats,1,423,0.8486997635933806,0.15130023640661938,False
0.5567605209265509,0.5643795698725136,0.7734418160840398,RandomForest,GNN_V1 + Stats,1,423,0.8486997635933806,0.15130023640661938,False
-0.579461705094686,0.7414863367338298,0.9761694036866653,Ridge,GNN_V1 + Stats (Cold-Start),1,64,,,True
-0.14443980639192633,0.6107053378832088,0.8309351267391032,RandomForest,GNN_V1 + Stats (Cold-Start),1,64,,,True
0.4787004554460238,0.6869232216017398,0.8387877965523685,Ridge,V2_Inductive + Stats,1,423,0.8486997635933806,0.15130023640661938,False
0.6541164976258941,0.4986704309451774,0.6832401109684316,RandomForest,V2_Inductive + Stats,1,423,0.8486997635933806,0.15130023640661938,False
-0.646850112928391,0.79796409981516,0.9967762416879314,Ridge,V2_Inductive + Stats (Cold-Start),1,64,,,True
0.18304115726222814,0.47397145970027627,0.7020543424718958,RandomForest,V2_Inductive + Stats (Cold-Start),1,64,,,True
0.41689419556854657,0.7087844957141045,0.8871194737928082,Ridge,V2_Transductive + Stats,1,423,0.8486997635933806,0.15130023640661938,False
0.581288479935117,0.5439582751041022,0.7517369291152386,RandomForest,V2_Transductive + Stats,1,423,0.8486997635933806,0.15130023640661938,False
-0.8252833376235014,0.8475844343422775,1.0493872558304576,Ridge,V2_Transductive + Stats (Cold-Start),1,64,,,True
0.124197296924072,0.5007551114635251,0.7268985150177739,RandomForest,V2_Transductive + Stats (Cold-Start),1,64,,,True
0.5523685148224664,0.6024982049485301,0.7772643406490226,Ridge,Node2Vec + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.6789240117923365,0.49239135781848453,0.6582825526165772,RandomForest,Node2Vec + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.1816613686197921,0.5139638166229948,0.7026469536848671,Ridge,Node2Vec + Stats + Meta (Cold-Start),1,64,,,True
0.40592673227074383,0.43838258862472906,0.5986743428573537,RandomForest,Node2Vec + Stats + Meta (Cold-Start),1,64,,,True
0.5226593334101712,0.6224604091800776,0.8026434171730759,Ridge,RotatE + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.6986837987778036,0.4709726566385903,0.6377047800457534,RandomForest,RotatE + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
-0.08998619696777554,0.6112826303753265,0.8109258414923064,Ridge,RotatE + Stats + Meta (Cold-Start),1,64,,,True
0.4563146269688415,0.4102773784234347,0.5727227906936299,RandomForest,RotatE + Stats + Meta (Cold-Start),1,64,,,True
0.513903241220883,0.5974006760011443,0.8099716032090656,Ridge,GNN_V0 + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.5928914264320024,0.523182876069415,0.7412480346207788,RandomForest,GNN_V0 + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
-0.45648139879771366,0.7320104270568754,0.9373960350815183,Ridge,GNN_V0 + Stats + Meta (Cold-Start),1,64,,,True
0.11304721483242564,0.5383187524584567,0.7315110517991826,RandomForest,GNN_V0 + Stats + Meta (Cold-Start),1,64,,,True
0.5133997633173484,0.6149381702974236,0.8103909613470154,Ridge,GNN_V1 + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.5661595097743889,0.5597045238693407,0.7651973752602204,RandomForest,GNN_V1 + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
-0.5576009741641099,0.7342273178731655,0.9693904703956282,Ridge,GNN_V1 + Stats + Meta (Cold-Start),1,64,,,True
-0.17112318349789812,0.6216156431807197,0.8405662146387091,RandomForest,GNN_V1 + Stats + Meta (Cold-Start),1,64,,,True
0.48767870977803696,0.6779584319124873,0.8315332745012274,Ridge,V2_Inductive + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.6562079528081903,0.507465393951299,0.6811713034792259,RandomForest,V2_Inductive + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
-0.6376567940398583,0.7941017070655287,0.9939901634790109,Ridge,V2_Inductive + Stats + Meta (Cold-Start),1,64,,,True
0.1880634842313177,0.4919343717797491,0.699893044979527,RandomForest,V2_Inductive + Stats + Meta (Cold-Start),1,64,,,True
0.4245394663720722,0.7000811997117002,0.8812846436625377,Ridge,V2_Transductive + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
0.5971334574828808,0.5383442402408475,0.7373760562151612,RandomForest,V2_Transductive + Stats + Meta,1,423,0.8486997635933806,0.15130023640661938,False
-0.8358656682832708,0.8495232309504617,1.0524248428056004,Ridge,V2_Transductive + Stats + Meta (Cold-Start),1,64,,,True
0.17150271561930674,0.5022057308850221,0.7069947447915181,RandomForest,V2_Transductive + Stats + Meta (Cold-Start),1,64,,,True
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline (Stats Only),2,423,0.8486997635933806,0.15130023640661938,False
0.6484960709035577,0.49820445307563305,0.688768889464048,RandomForest,Baseline (Stats Only),2,423,0.8486997635933806,0.15130023640661938,False
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline (Stats Only) (Cold-Start),2,64,,,True
0.433726442905612,0.4040489011535391,0.584499012912419,RandomForest,Baseline (Stats Only) (Cold-Start),2,64,,,True
0.5517641524885133,0.6056512164059356,0.7777888690361295,Ridge,Baseline (Stats + Meta CSV),2,423,0.8486997635933806,0.15130023640661938,False
0.6639062463689045,0.4938550577565284,0.673501629990987,RandomForest,Baseline (Stats + Meta CSV),2,423,0.8486997635933806,0.15130023640661938,False
0.1890777487518408,0.5047044700370416,0.6994557580109521,Ridge,Baseline (Stats + Meta CSV) (Cold-Start),2,64,,,True
0.44718116226888205,0.4063543843626852,0.5775133896169361,RandomForest,Baseline (Stats + Meta CSV) (Cold-Start),2,64,,,True
0.5556525245924913,0.5989205636069977,0.7744079256573039,Ridge,Node2Vec + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.6601303400421986,0.49727400015862994,0.6772743514573745,RandomForest,Node2Vec + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.1822338271382029,0.517456805245514,0.7024011467608824,Ridge,Node2Vec + Stats (Cold-Start),2,64,,,True
0.3712531646971453,0.4359320264100755,0.6158976500723242,RandomForest,Node2Vec + Stats (Cold-Start),2,64,,,True
0.5230310586537891,0.6235468755587926,0.8023308302197529,Ridge,RotatE + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.6686014742366823,0.484292406480067,0.668780677068277,RandomForest,RotatE + Stats,2,423,0.8486997635933806,0.15130023640661938,False
-0.0890883531816693,0.6077808199625245,0.8105917846362957,Ridge,RotatE + Stats (Cold-Start),2,64,,,True
0.4104863631292771,0.4200679001495746,0.5963724449540705,RandomForest,RotatE + Stats (Cold-Start),2,64,,,True
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.5912822912266915,0.523316716665869,0.742711516449579,RandomForest,GNN_V0 + Stats,2,423,0.8486997635933806,0.15130023640661938,False
-0.4627820573598864,0.7328492118851231,0.9394214089210268,Ridge,GNN_V0 + Stats (Cold-Start),2,64,,,True
0.13576637621378762,0.5303049978632002,0.7220815035194529,RandomForest,GNN_V0 + Stats (Cold-Start),2,64,,,True
0.5078718311392315,0.6175223348612999,0.8149811102498677,Ridge,GNN_V1 + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.5573577746955007,0.562599739279652,0.7729205439728253,RandomForest,GNN_V1 + Stats,2,423,0.8486997635933806,0.15130023640661938,False
-0.579461705094686,0.7414863367338298,0.9761694036866653,Ridge,GNN_V1 + Stats (Cold-Start),2,64,,,True
-0.12871117703216473,0.605683080709281,0.8252053858921746,RandomForest,GNN_V1 + Stats (Cold-Start),2,64,,,True
0.4787004554460238,0.6869232216017398,0.8387877965523685,Ridge,V2_Inductive + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.6519236859356647,0.5025237326138758,0.6854024717243877,RandomForest,V2_Inductive + Stats,2,423,0.8486997635933806,0.15130023640661938,False
-0.646850112928391,0.79796409981516,0.9967762416879314,Ridge,V2_Inductive + Stats (Cold-Start),2,64,,,True
0.1662159690932119,0.4825811926836532,0.7092468694165405,RandomForest,V2_Inductive + Stats (Cold-Start),2,64,,,True
0.41689419556854657,0.7087844957141045,0.8871194737928082,Ridge,V2_Transductive + Stats,2,423,0.8486997635933806,0.15130023640661938,False
0.5819254195718402,0.5445610259816791,0.7511649442846079,RandomForest,V2_Transductive + Stats,2,423,0.8486997635933806,0.15130023640661938,False
-0.8252833376235014,0.8475844343422775,1.0493872558304576,Ridge,V2_Transductive + Stats (Cold-Start),2,64,,,True
0.1148716160557437,0.502879741656528,0.7307583304218691,RandomForest,V2_Transductive + Stats (Cold-Start),2,64,,,True
0.5523685148224664,0.6024982049485301,0.7772643406490226,Ridge,Node2Vec + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.6807961649729892,0.49001358832196984,0.6563605659576696,RandomForest,Node2Vec + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.1816613686197921,0.5139638166229948,0.7026469536848671,Ridge,Node2Vec + Stats + Meta (Cold-Start),2,64,,,True
0.4209243843015531,0.43486021807324393,0.5910691326353956,RandomForest,Node2Vec + Stats + Meta (Cold-Start),2,64,,,True
0.5226593334101712,0.6224604091800776,0.8026434171730759,Ridge,RotatE + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.6932509830013189,0.47276350796042077,0.6434280952393328,RandomForest,RotatE + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
-0.08998619696777554,0.6112826303753265,0.8109258414923064,Ridge,RotatE + Stats + Meta (Cold-Start),2,64,,,True
0.45128431461785834,0.4115705316717556,0.5753661773357823,RandomForest,RotatE + Stats + Meta (Cold-Start),2,64,,,True
0.513903241220883,0.5974006760011443,0.8099716032090656,Ridge,GNN_V0 + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.5934411090065357,0.5231127560141788,0.7407474448718703,RandomForest,GNN_V0 + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
-0.45648139879771366,0.7320104270568754,0.9373960350815183,Ridge,GNN_V0 + Stats + Meta (Cold-Start),2,64,,,True
0.13312125375810357,0.5321578678842754,0.7231856810939601,RandomForest,GNN_V0 + Stats + Meta (Cold-Start),2,64,,,True
0.5133997633173484,0.6149381702974236,0.8103909613470154,Ridge,GNN_V1 + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.5686560605659727,0.5573682127705967,0.7629925207196265,RandomForest,GNN_V1 + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
-0.5576009741641099,0.7342273178731655,0.9693904703956282,Ridge,GNN_V1 + Stats + Meta (Cold-Start),2,64,,,True
-0.14434617011394324,0.6123971241962154,0.8309011331364565,RandomForest,GNN_V1 + Stats + Meta (Cold-Start),2,64,,,True
0.48767870977803696,0.6779584319124873,0.8315332745012274,Ridge,V2_Inductive + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.653723779976187,0.5125995970261462,0.6836278778449612,RandomForest,V2_Inductive + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
-0.6376567940398583,0.7941017070655287,0.9939901634790109,Ridge,V2_Inductive + Stats + Meta (Cold-Start),2,64,,,True
0.16334457645985156,0.5041855692285331,0.7104670750223211,RandomForest,V2_Inductive + Stats + Meta (Cold-Start),2,64,,,True
0.4245394663720722,0.7000811997117002,0.8812846436625377,Ridge,V2_Transductive + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
0.596908064810792,0.5395723950935163,0.7375822981124782,RandomForest,V2_Transductive + Stats + Meta,2,423,0.8486997635933806,0.15130023640661938,False
-0.8358656682832708,0.8495232309504617,1.0524248428056004,Ridge,V2_Transductive + Stats + Meta (Cold-Start),2,64,,,True
0.1547966689592819,0.5034977987361008,0.714087187790874,RandomForest,V2_Transductive + Stats + Meta (Cold-Start),2,64,,,True
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline (Stats Only),3,423,0.8486997635933806,0.15130023640661938,False
0.6457038466900858,0.5001104239292411,0.6914991476562431,RandomForest,Baseline (Stats Only),3,423,0.8486997635933806,0.15130023640661938,False
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline (Stats Only) (Cold-Start),3,64,,,True
0.42882072336524235,0.4045301051516768,0.5870253579854102,RandomForest,Baseline (Stats Only) (Cold-Start),3,64,,,True
0.5517641524885133,0.6056512164059356,0.7777888690361295,Ridge,Baseline (Stats + Meta CSV),3,423,0.8486997635933806,0.15130023640661938,False
0.6655996658621347,0.49312076736899235,0.6718027572132992,RandomForest,Baseline (Stats + Meta CSV),3,423,0.8486997635933806,0.15130023640661938,False
0.1890777487518408,0.5047044700370416,0.6994557580109521,Ridge,Baseline (Stats + Meta CSV) (Cold-Start),3,64,,,True
0.4628960716442385,0.405819494421941,0.5692457612153182,RandomForest,Baseline (Stats + Meta CSV) (Cold-Start),3,64,,,True
0.5556525245924913,0.5989205636069977,0.7744079256573039,Ridge,Node2Vec + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.6620591733615943,0.49682856882805093,0.6753497782739464,RandomForest,Node2Vec + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.1822338271382029,0.517456805245514,0.7024011467608824,Ridge,Node2Vec + Stats (Cold-Start),3,64,,,True
0.3690655868670685,0.4383561566417664,0.6169681557820461,RandomForest,Node2Vec + Stats (Cold-Start),3,64,,,True
0.5230310586537891,0.6235468755587926,0.8023308302197529,Ridge,RotatE + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.6713839185252801,0.48513333811697734,0.6659671953250493,RandomForest,RotatE + Stats,3,423,0.8486997635933806,0.15130023640661938,False
-0.0890883531816693,0.6077808199625245,0.8105917846362957,Ridge,RotatE + Stats (Cold-Start),3,64,,,True
0.4183947641518392,0.41926674333176484,0.5923587319782881,RandomForest,RotatE + Stats (Cold-Start),3,64,,,True
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.5905282094995863,0.5239323745756258,0.7433963498686532,RandomForest,GNN_V0 + Stats,3,423,0.8486997635933806,0.15130023640661938,False
-0.4627820573598864,0.7328492118851231,0.9394214089210268,Ridge,GNN_V0 + Stats (Cold-Start),3,64,,,True
0.12385442613991138,0.5341913122795682,0.7270407889994395,RandomForest,GNN_V0 + Stats (Cold-Start),3,64,,,True
0.5078718311392315,0.6175223348612999,0.8149811102498677,Ridge,GNN_V1 + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.5571846591061351,0.5619884263758692,0.7730716722518308,RandomForest,GNN_V1 + Stats,3,423,0.8486997635933806,0.15130023640661938,False
-0.579461705094686,0.7414863367338298,0.9761694036866653,Ridge,GNN_V1 + Stats (Cold-Start),3,64,,,True
-0.12378209147414654,0.6017118425340251,0.8234015770609325,RandomForest,GNN_V1 + Stats (Cold-Start),3,64,,,True
0.4787004554460238,0.6869232216017398,0.8387877965523685,Ridge,V2_Inductive + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.6520886277833879,0.5029649597187243,0.6852400577054311,RandomForest,V2_Inductive + Stats,3,423,0.8486997635933806,0.15130023640661938,False
-0.646850112928391,0.79796409981516,0.9967762416879314,Ridge,V2_Inductive + Stats (Cold-Start),3,64,,,True
0.16825056648511905,0.4809246749214765,0.7083809897801726,RandomForest,V2_Inductive + Stats (Cold-Start),3,64,,,True
0.41689419556854657,0.7087844957141045,0.8871194737928082,Ridge,V2_Transductive + Stats,3,423,0.8486997635933806,0.15130023640661938,False
0.586225888557452,0.5393846810908546,0.7472915782974275,RandomForest,V2_Transductive + Stats,3,423,0.8486997635933806,0.15130023640661938,False
-0.8252833376235014,0.8475844343422775,1.0493872558304576,Ridge,V2_Transductive + Stats (Cold-Start),3,64,,,True
0.11881836098180032,0.4939284784787714,0.7291273020832137,RandomForest,V2_Transductive + Stats (Cold-Start),3,64,,,True
0.5523685148224664,0.6024982049485301,0.7772643406490226,Ridge,Node2Vec + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
0.6775333540409173,0.4921107004672195,0.6597066027708682,RandomForest,Node2Vec + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
0.1816613686197921,0.5139638166229948,0.7026469536848671,Ridge,Node2Vec + Stats + Meta (Cold-Start),3,64,,,True
0.4022541878985386,0.4404775913133099,0.6005219857828524,RandomForest,Node2Vec + Stats + Meta (Cold-Start),3,64,,,True
0.5226593334101712,0.6224604091800776,0.8026434171730759,Ridge,RotatE + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
0.6942181852569368,0.47199624514307564,0.6424129062661478,RandomForest,RotatE + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
-0.08998619696777554,0.6112826303753265,0.8109258414923064,Ridge,RotatE + Stats + Meta (Cold-Start),3,64,,,True
0.45839875940350006,0.41095242951403177,0.5716240152809043,RandomForest,RotatE + Stats + Meta (Cold-Start),3,64,,,True
0.513903241220883,0.5974006760011443,0.8099716032090656,Ridge,GNN_V0 + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
0.5928241365266149,0.5231491535855529,0.7413092915586759,RandomForest,GNN_V0 + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
-0.45648139879771366,0.7320104270568754,0.9373960350815183,Ridge,GNN_V0 + Stats + Meta (Cold-Start),3,64,,,True
0.11261651187036836,0.5401219470514943,0.7316886405855809,RandomForest,GNN_V0 + Stats + Meta (Cold-Start),3,64,,,True
0.5133997633173484,0.6149381702974236,0.8103909613470154,Ridge,GNN_V1 + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
0.5699781639586026,0.5545951320210653,0.7618223070301301,RandomForest,GNN_V1 + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
-0.5576009741641099,0.7342273178731655,0.9693904703956282,Ridge,GNN_V1 + Stats + Meta (Cold-Start),3,64,,,True
-0.12324716300741412,0.604781505824767,0.8232055811580801,RandomForest,GNN_V1 + Stats + Meta (Cold-Start),3,64,,,True
0.48767870977803696,0.6779584319124873,0.8315332745012274,Ridge,V2_Inductive + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
0.6529309053508594,0.5107939009352933,0.6844100876046196,RandomForest,V2_Inductive + Stats + Meta,3,423,0.8486997635933806,0.15130023640661938,False
-0.6376567940398583,0.7941017070655287,0.9939901634790109,Ridge,V2_Inductive + Stats + Meta (Cold-Start),3,64,,,True
